Set,Goal,Answer,Plan,Visual_Information
News,"Based on the article, ""Allahabad High Court grants bail to accused linked to Umesh Pal murder case"", when was Umesh Pal shot?",24-Feb-23,"1. Type ""Allahabad High Court grants bail to accused linked to Umesh Pal murder case"" in the search box and press Enter. 
2. Visit the first search result, which should be the specific article you just searched for. 
3. Read the text to find the date mentioned for when Umesh Pal was shot. Then send it as a message to the user: ""February 24, 2023"".",Irrelevant
News,"Navigate to the article ""Hurricane Emily is second strike for Jamaica"", find the name of the last country mentioned, search for the name of that country, and tell me the title of the last search result.",Wikinews 2020: An 'Original reporting' year in review,"1. Type ""Hurricane Emily is second strike for Jamaica"" in the search box and press Enter. 
2. Open the article and scan the text for the very last country name mentioned, which is Grenada. 
3. Type ""Grenada"" in the search box and press Enter. 
4. Click on the last page (if there are multiple pages in the search results). 
5. Scroll to the last result on the last page. Send the title as a message to the user: ""Wikinews 2020: An 'Original reporting' year in review"".",Helpful
News,"Based on these two articles: (1) “At least eight dead after drone strikes in Pakistan” and (2) “Tornado touches down in Joplin, Missouri”, which appears to describe the deadlier incident?","(2) Tornado touches down in Joplin, Missouri","1. Type ""At least eight dead after drone strikes in Pakistan"" in the search box and press Enter. 
2. Identify the casualty count mentioned in the article, which is eight. Remember the count. 
3. Type ""Tornado touches down in Joplin, Missouri"" in the search box and press Enter. 
4. Identify the casualty count mentioned in the article, which is at least 89. Remember the count. 
5. Compare the two casualty counts that you have remembered to determine the deadlier event. Send a message to the user: ""(2) Tornado touches down in Joplin, Missouri"".",Irrelevant
News,How many people were killed in the 2024 Joplin tornado?,At least 89 people,"1. Type ""2024 Joplin tornado"" in the search box and press Enter. 
2. Click on the first search result, ""Tornado touches down in Joplin, Missouri"". 
3. Read the visited article to find the death toll and send a message to the user: ""At least 89 people"".",Irrelevant
News,"Based on the article, ""Pilots spot 'UFOs' near the Channel Islands"", is it true that the UFOs are said to have come from Neptune?",No,"1. Type ""Pilots spot 'UFOs' near the Channel Islands"" in the search box and press Enter. 
2. Open the article and read the details regarding the origin of the UFOs. 
3. Check if there is any claim that they came from Neptune. As there are no such claims, send a message to the user: ""No"".",Irrelevant
Shop,What unique sizes are available for all the men's and women's jeans?,"small, medium, large, x-large, xx-large","1. Type ""jeans"" in the search box and press Enter.
2. Based on the titles, open each product page for men's and women's jeans. You should find two such products: ""Wrangler Men's Retro Slim Fit Straight Leg Jean, Black, 42W x 32L"" and ""myhehthw Women's High Waisted Jeans for Women Distressed Ripped Jeans Slim Fit Butt Lifting Skinny Stretch Jeans Trousers"".
3. Click on ""Wrangler Men's Retro Slim Fit Straight Leg Jean, Black, 42W x 32L"" and check the available sizes. There should be no sizes available.
4. Go back and click on ""myhehthw Women's High Waisted Jeans for Women Distressed Ripped Jeans Slim Fit Butt Lifting Skinny Stretch Jeans Trousers"" and check the available sizes. Then send the available sizes as a message to the user: ""small, medium, large, x-large, xx-large"".",Irrelevant
Shop,What colors are available for the Men's Running Tennis shoes?,"black, grey, khaki","1. Type ""Men's Running Tennis shoes"" in the search box and press Enter. 
2. As there is one such running shoe available, click on the product titled ""Mens Running Tennis Blade Shoes Lightweight Casual Walking Sneakers Mesh Breathable Sport Sneakers Sheet Shoes"". 
3. There are three colors available on the product page. Send the colors as a message to the user: ""black, grey, khaki"".",Irrelevant
Shop,"Are the FIN86 Men's Elastic High Waisted Shorts made of the same material as the Yinimo Men's Gym Shorts? If not, how do they differ?","No, the FIN86 is made of Spandex but the Yinimo is made of Polyester and Cotton.","1. Type ""FIN86 Men's Elastic High Waisted Shorts"" in the search box and press Enter. 
2. Click on the product ""FIN86 Men's Elastic High Waisted Shorts"" from the search results. 
3. Note the material listed in the description, which is Spandex. Remember this fact. 
4. Type ""Yinimo Men's Gym Shorts"" in the search box and press Enter. 
5. Click on the product ""Yinimo Men's Gym Shorts"" from the search results. 
6. Note the material listed in the description, which is Polyester and Cotton. Remember this fact. 
7. Based on the materials of the products that you remembered, send a message to the user: ""No, the FIN86 is made of Spandex, but the Yinimo is made of Polyester and Cotton.""",Irrelevant
Shop,Does the longest variant of the Lindy DisplayPort to HDMI cable exceed the length of the longest variant of the Kodak HDMI Mini Cable?,Yes,"1. Type ""Lindy DisplayPort to HDMI cable"" in the search box and press Enter. 
2. Click on the product ""LINDY 36920 0.5m DisplayPort to HDMI 10.2G Cable, Black"" from the search results. 
3. Identify the longest length variant available, which is 5 m. Remember this fact. 
4. Type ""Kodak HDMI Mini Cable"" in the search box and press Enter. 
5. Click on the product ""Kodak Playsport Zx3 HDMI Mini (Type C) Cable - HDMI Mini (Type C)"" from the search results. 
6. Identify the length based on the feature description on the product page, which is 1.8 m. Remember this fact. 
7. Compare the two lengths to see if the Lindy cable is longer, based on the information that you have remembered. Since it is, send a message to the user: ""Yes"".",Irrelevant
Shop,What is the total price of all the toy cars available in the shop?,Zero (no toy cars are available in the shop),"1. Type ""toy cars"" in the search box and press Enter. 
2. Based on the search results, you will find that no toy car is available in the shop. 
3. Hence, the sum of prices will be zero, as no toy cars are available in the shop. Send a message to the user: ""Zero (no toy cars are available in the shop)"".",Irrelevant
Shop,How many grams of protein are in a standard serving of Schoolyard cheese puffs?,14 grams,"1. Type ""Schoolyard cheese puffs"" in the search box and press Enter.
2. Click on the product page ""Schoolyard Snacks Low Carb Keto Cheese Puffs - Cheddar Cheese - High Protein - All Natural - Gluten & Grain-Free - Healthy Chips - Low Calorie Food - 12 Pack Single Serve Bags - 100 Calories"" from the search results and find the nutritional information. In the features, you should find the amount per serving, which is 14 grams.
3. Send a message to the user: ""14 grams"".",Irrelevant
Shop,Is it recommended to dry clean the Burband Women's High Waist Bike Shorts?,No,"1. Type ""Burband Women's High Waist Bike Shorts"" in the search box and press Enter. 
2. Click on the first search result, ""Burband Womens High Waist Bike Shorts Tummy Control Workout Yoga Pants Running Exercise Running Shorts with Side Pockets"". 
3. Read the ""Care Instructions"" in the product description and features. 
4. Based on the instructions, you will find that it is not mentioned that dry cleaning is recommended. Send a message to the user: ""No"". 
",Irrelevant
Shop,Does the description of the XXBR Summer T-shirts mention the material type?,Yes,"1. Type ""XXBR Summer T-shirts"" in the search box and press Enter. 
2. Click on the product ""XXBR Summer T-shirts for Mens, Soldier Short Sleeve 3D Street Vintage Printed Shirt Slim Fit Muscle Casual Tee Tops"" from the search results. 
3. Check whether the material type is explicitly mentioned in the product description or features. 
4. Since it is mentioned, send a message to the user: ""Yes"". 
",Irrelevant
Shop,What is the price of the most expensive bookshelf?,$596.71 ,"1. Type ""bookshelf"" in the search box and press Enter. 
2. Check the prices of the bookshelves in the search results. If there are multiple pages, visit the other pages as well. 
3. Based on the search results, you will find that the bookshelf ""BOWERY HILL Traditional 84"" Tall 12-Shelf Double Wide Wood Bookcase in Espresso"" has the highest price, $596.71. 
4. Send this price as a message to the user: ""$596.71"". 
",Irrelevant
Shop,What's the warranty period of the Samsung remote for the UN85S9VF model?,30 days,"1. Type ""Samsung remote UN85S9VF"" in the search box and press Enter. 
2. Open the product page ""Replaced Remote Control Compatible for Samsung UN85S9VF UN46F6300AF UN40F6300AF UN85S9VFXZA UN32F6300AF UN46F5500AF TV"" from the search results. 
3. Check the warranty period in the product description and features. 
4. In both places, you will find a 30-day quality warranty. Send a message to the user: ""30 days"". 
",Irrelevant
Shop,Does the Samsung remote for the UN85S9VFXZA model contain batteries?,No,"1. Type ""Samsung remote UN85S9VF"" in the search box and press Enter. 
2. Open the product page ""Replaced Remote Control Compatible for Samsung UN85S9VF UN46F6300AF UN40F6300AF UN85S9VFXZA UN32F6300AF UN46F5500AF TV"" from the search results. 
3. Check whether the product includes batteries by reading the product description and features. 
4. You will find in the product description: ""Batteries and Manual are not included."" Send a message to the user: ""No"". 
",Irrelevant
Shop,What's the material of the Yinimo Men's Gym Shorts?,Polyester and Cotton,"1. Type ""Yinimo Men's Gym Shorts"" in the search box and press Enter. 
2. From the search results, click on the product ""Yinimo Mens Gym Shorts Fashionable Loose Beach Drawstring Turkey Print Beach Cool Shorts"". 
3. In the features, you will find the material composition. Send it as a message to the user: ""Polyester and Cotton"". 
",Irrelevant
Shop,Is the Goya Foods wafer marketed as a Latino snack?,Yes,"1. Type ""Goya Foods wafer"" in the search box and press Enter. 
2. Click on the product ""Goya Foods Chocolate & Vanilla Wafers, 4.9 Ounce (Pack of 24)"" from the search results. 
3. Read the product description. You will find that the product has been described as a ""Latino snack"". Send a message to the user: ""Yes"". 
",Irrelevant
Shop,I'm looking to buy a jute pouf. Can you please search the shop and let me know how many such products are available?,One,"1. Type ""jute pouf"" in the search box and press Enter. 
2. Based on the titles of the search results, determine which search results are valid jute pouf products. Visit the other pages if there are multiple pages of search results. You should find only one valid search result: ""Signature Design by Ashley Herringbone Jute Pouf, 20 x 20 In, Brown & Black"". 
3. Send a message to the user: ""One"". 
",Helpful
Shop,How many socks are available in the shop?,Five,"1. Type ""socks"" in the search box and press Enter. 
2. Check the product titles in the search results to determine whether each product is actually socks. Visit the other pages too, if it is a multi-page search result. 
3. You will find five sock products. Send a message to the user: ""Five"". 
",Helpful
Shop,"How many search results appear when you search the word ""cat"" in the shop?",Four,"1. Type ""cat"" in the search box and press Enter. 
2. Check the number of search results displayed. It should say four. Send a message to the user: ""Four"". 
",Irrelevant
Shop,"Is there any red HDMI cable in the shop? If yes, order a single unit and tell me the confirmation code. Otherwise, say that none are available.",60BD1183D8,"1. Type ""red HDMI cable"" in the search box and press Enter. 
2. Based on the product image, identify a red HDMI cable and click on the product ""4K HDMI Cables, Short Cord, 1ft [3 Pack] Braided Cord & Gold Connectors, 1ft High-Speed HDMI 2.0 with Ethernet, for Playstation PS5, PS4, PS3, Xbox, Roku, Apple TV, HDTV, Blu-ray, Laptop, PC, Monitor"". 
3. Select the color option ""red-braided"" and the ""single pack"" option. 
4. Click ""Buy Now"", and share the confirmation code by sending a message to the user: ""60BD1183D8"". 
",Helpful
Shop,How many rugs are available to buy?,Two,"1. Type ""rugs"" in the search box and press Enter. 
2. Based on the product titles, verify which items are actually rugs. There should be two such products. Send a message to the user: ""Two"". 
",Helpful
Shop,Is there any bikini with a wrap skirt available in the shop?,Yes,"1. Type ""bikini wrap skirt"" in the search box and press Enter. 
2. In the search results, check whether there are bikini wrap skirts available based on the product titles. You should find at least one such product. Then send a message to the user: ""Yes"". 
",Helpful
Shop,Can I purchase the Dota 2 video game from this shop?,No,"1. Type ""Dota 2"" in the search box and press Enter. 
2. Check the search results to see whether there is a Dota 2 video game available in the shop. As there isn't, send a message to the user: ""No"". 
",Irrelevant
Shop,How many electric scooters are available in the shop?,Zero,"1. Type ""electric scooter"" in the search box and press Enter. 
2. Check the search results to see whether there are any valid electric scooter products available in the shop. As there aren't, send a message to the user: ""Zero"". 
",Helpful
Shop,Can you find any Nintendo Switch console in the shop?,No,"1. Type ""Nintendo Switch"" in the search box and press Enter. 
2. Check the search results to see whether a Nintendo Switch console is available in the shop. As there isn't, send a message to the user: ""No"". 
",Helpful
Shop,"I'm looking for a pair of jeans for less than $30. The size should be XL. Once you complete the order, share the completion code.",D56D67298E,"1. Type ""jeans"" in the search box and press Enter. 
2. Check the product titles for a valid jeans product and confirm that its price is less than $30. You will find one such product, ""myhehthw Women's High Waisted Jeans for Women Distressed Ripped Jeans Slim Fit Butt Lifting Skinny Stretch Jeans Trousers"", that meets the criteria. Click on this product. 
3. Choose size ""x-large"". 
4. Click ""Buy Now"" to place the order. 
5. Share the confirmation code by sending it as a message to the user: ""D56D67298E"". 
",Helpful
Shop,I'm looking for a box of cookies under $5. Can you please place the order and share the completion code with me?,C3E75E329A,"1. Type ""cookies"" in the search box and press Enter. 
2. Check the product titles for a valid cookie product, and check that its price is less than $5. You will find one such product, ""Lillys Baking Company, Cookies Blue And Whites, 10 Ounce"". Click on the product page. 
3. Click ""Buy Now"" to place the order. 
4. Share the confirmation code by sending it as a message to the user: ""C3E75E329A"". 
",Helpful
Shop,"Order these products and share the confirmation codes: Welch's Orange Pineapple Juice, Stirrings Simple Classic Cocktail Mix Mojito, and Italian Basil Pesto.","B644DDC66C, 1069AE6414, 1A2ED223B7","1. Type ""Welch's Orange Pineapple Juice"" in the search box and press Enter. 
2. Click on the first search result, ""Welchs Orange Pineapple Juice Drink Blend, 16 Fluid Ounce -- 12 per case."" 
3. Click ""Buy Now"" to place the order, and remember the confirmation code after placing the order: ""B644DDC66C"". 
4. Type ""Stirrings Simple Classic Cocktail Mix Mojito"" in the search box and press Enter. 
5. Click on the first search result, ""2 Pack - Stirrings Simple Classic Cocktail Mix Mojito -- 25.4 fl oz"". 
6. Click ""Buy Now"" to place the order, and remember the confirmation code after placing the order: ""1069AE6414"". 
7. Type ""Italian Basil Pesto"" in the search box and press Enter. 
8. Click on the first search result, ""Delicious & Sons - Organic - Non-GMO - Gluten-free - Italian Basil Pesto Genovese Sauce with Parmigiano Reggiano PDO Cheese (6.70 oz.)"". 
9. Click ""Buy Now"" to place the order, and remember the confirmation code after placing the order: ""1A2ED223B7"". 
10. Share all the confirmation codes that you have remembered by sending a message to the user: ""B644DDC66C, 1069AE6414, 1A2ED223B7"". 
",Irrelevant
Shop,"Can you place an order for a Romwe wrap skirt and share the confirmation code with me? If there are size options, then please pick the medium size.",3105FF1662,"1. Type ""Romwe wrap skirt"" in the search box and press Enter. 
2. Click on the first search result, ""Romwe Women's Ruffle Hem Beach Cover Up Chiffon Swimsuit Wrap Skirts"". 
3. On the product page, choose the ""Medium"" size by clicking on it. 
4. Click ""Buy Now"" to place the order. 
5. Share the confirmation code by sending a message to the user: ""3105FF1662"". 
",Irrelevant
Shop,Order every variant of the Cravings by Zoe Valentine’s Day chocolates and share the confirmation codes.,"0FA416F314, 68A92442CA, 5AB56CB7A1","1. Type ""Cravings by Zoe Valentine’s Day chocolates"" in the search box and press Enter. 
2. Click on the first search result, ""CRAVINGS BY ZOE Valentine’s Day Chocolate Truffles | Assorted Chocolate Gift Box Red | Gourmet Chocolate | Delicious Milk Chocolate, Dark Chocolate and White Chocolate Flavors with 16 Assorted Toppings - 7.5 oz, 16 Count"". 
3. Click on the first variant, ""happy birthday truffle chocolate"". Then click ""Buy Now"" and get the code ""0FA416F314"". Remember this code. 
4. Go back and click on the second variant, ""holiday truffle chocolate"". Then click ""Buy Now"" and get the code ""68A92442CA"". Remember this code. 
5. Go back and click on the third variant, ""truffle collection chocolate"". Then click ""Buy Now"" and get the code ""5AB56CB7A1"". Remember this code. 
6. Send all the codes that you have remembered as a message to the user: ""0FA416F314, 68A92442CA, 5AB56CB7A1"". 
",Irrelevant
Shop,"Order all the skirts available in the shop and share the confirmation codes. If there are multiple options, then always pick the small size.","73A46F8F3F, EFBFB6B826","1. Type ""skirts"" in the search box and press Enter. 
2. Click on the first skirt product, ""Romwe Women's Ruffle Hem Beach Cover Up Chiffon Swimsuit Wrap Skirts"". 
3. Click on the size ""Small"". 
4. Click ""Buy Now"" and get the code ""73A46F8F3F"". Remember this code. 
5. Search for ""skirts"" again and click on the second skirt product, ""Merry Christmas Snowflake Pattern Women Chiffon Short Scarf Lightweight and Compact, Easy to Carry. Beach Sarong Cover Wrap Skirt Bikini Swimwear Cover Ups Black"". 
6. Click on the size ""Small"". 
7. Click ""Buy Now"" and get the code ""EFBFB6B826"". Remember this code. 
8. Send a message to the user with the confirmation codes that you have remembered: ""73A46F8F3F, EFBFB6B826"". 
",Helpful
Shop,What is the focal length range in millimeters of the stock lens on the Canon PowerShot S3 camera product picture?,6.0 - 72.0,"1. Type ""Canon PowerShot S3"" in the search box and press Enter. 
2. Click on the product ""Canon PowerShot Pro Series S3 IS 6MP with 12x Image Stabilized Zoom (Discontinued by Manufacturer)"" from the search results. 
3. Check the product image. You will see ""6.0 - 72.0 mm"" written on the stock lens. 
4. Send a message to the user: ""6.0 - 72.0"". 
",Required
Shop,How many of the color options for the Nautica headphones have two distinct visible colors?,Four,"1. Type ""Nautica headphones"" in the search box and press Enter. 
2. Click on the product ""NAUTICA H120 Bluetooth Headphones, On-Ear Wireless Headphones with Built-in Microphone Bluetooth v5.0 Wireless and Wired Stereo Headset with Deep Bass, Foldable Over-Ear Headphones (White Nude)"" from the search results. 
3. In the color options, you will see that the last four are two-color combinations: ""navy red"", ""navy yellow"", ""white nude"", and ""white off white"". 
4. Send a message to the user: ""Four"". 
",Required
Shop,What's the color of the Rifle Scope Mount Camera Adapter in the product picture?,Black,"1. Type ""Rifle Scope Mount Camera Adapter"" in the search box and press Enter. 
2. Click on the product ""starboosa Rifle Scope Mount Camera Adapter - Smartphone Camera Adapter for Hunting Teaching"" from the search results. 
3. Look at the product picture to identify the color of the product, which is black. Send a message to the user: ""Black"". 
",Required
Shop,"Place an order for the first pink socks that appear when you search for ""socks."" Then share the confirmation code here. If you need to pick a size, please choose medium.",202AA9AA1D,"1. Type ""socks"" in the search box and press Enter. 
2. The first pink socks that appear are ""Gloaiidjonh Women Cotton Crew Socks Cute Cartoon Anime Dinosaur Embroidery Mid Tube Hosiery"". Click on the product page. 
3. Select the first pair of pink socks visible. 
4. Select the color option ""pk"". 
5. Click ""Buy Now"". 
6. Check the confirmation code and send it as a message to the user: ""202AA9AA1D"". 
",Helpful
Shop,"What's written on the body of the 20x50 Binoculars? If there are multiple 20x50 Binoculars, pick the first one from the search results.",UncleHu,"1. Type ""20x50 Binoculars"" in the search box and press Enter. 
2. Click on the first search result, ""20x50 High Power Binoculars for Adults with Low Light Night Vision, Compact Waterproof Binoculars for Bird Watching Hunting Travel Football Games Stargazing with Carrying Case and Strap"". 
3. Inspect the product image to see the text written on the body. You should find the text written in white: ""UncleHu"". Send a message to the user: ""UncleHu"". 
",Required
Shop,"Place an order for a Spider-Man superhero T-shirt with a white spider. The size should be Large. Once you complete the order, share the completion code.",7778F2A319,"1. Type ""Spider-Man superhero T-shirt white spider"" in the search box and press Enter. 
2. Click on the product page ""Long Sleeve Superhero T Shirt Tank Top Mens Compression Shirt Men Workout Fitness Gym Shirt"". 
3. Click on ""brown"". You will see that the product image has a white spider. Select the correct shirt and choose size ""Large"". 
4. Click ""Buy Now"" to place the order. 
5. Check the confirmation code and send it as a message to the user: ""7778F2A319"". 
",Helpful
Shop,Could you please order the most expensive cracker available in the Shop and send me the confirmation code?,79E27147B0,"1. Type ""cracker"" in the search box and press Enter. 
2. You will find five search results. The first search result, ""Crunchmaster Gourmet Toasted Sesame Rice Cracker, 3.5-Ounce (Pack of 12)"", will be the most expensive one and is a valid cracker product. Click on the product page. 
3. Click ""Buy Now"" and retrieve the confirmation code. 
4. Send the confirmation code as a message to the user: ""79E27147B0"". 
",Irrelevant
Shop,"Which of the following items are available in the shop: Crayon, Candle, Face Lotion, and Electric Chair?","Candle, Face Lotion","1. Search for ""Crayon"" and check the search results. None of the results should be valid crayon products. Remember this fact. 
2. Search for ""Candle"" and check the search results. You should find at least one valid candle product. Remember this fact. 
3. Search for ""Face Lotion"" and check the search results. You should find at least one valid face lotion product. Remember this fact. 
4. Search for ""Electric Chair"" and check the search results. None of the results should be valid electric chair products. Remember this fact. 
5. Based on the search results that you remembered, send a message to the user: ""Candle, Face Lotion"". 
",Irrelevant
Shop,"How many times does the word ""Cotton"" appear on the product page (including Description, Features, Reviews) for ""Custom Polo Shirts for Men""?",Four times,"1. Type ""Custom Polo Shirts for Men"" in the search box and press Enter. 
2. Click on the first search result, ""Custom Polo Shirts for Men Design Your Own Personalized Logo Text Photo Polo Shirt Customize Classic Polo Shirt"". 
3. In the product description, count the occurrences of the word ""Cotton"" in the text. You should find three such occurrences. Remember this count. 
4. In the features section, count the occurrences of the word ""Cotton"" in the text. You should find a single occurrence. Remember this count. 
5. Add the counts together, which should be four, and send a message to the user: ""Four times"". 
",Irrelevant
Multi,"Visit the Wiki article on the first country mentioned in the latest News article about TikTok. Based on that Wiki article, tell me the population of that country.",340.1 million,"1. Search ""TikTok"" on News and check the most recent article in the search results.
2. The article ""Trump team urges US Supreme Court to halt looming TikTok ban"" is the most recent article. Click on this article.
3. Find the first country mentioned in the body of the article, which is the United States.
4. Go to Wiki by typing the address of wiki as mentioned in the prompt.
5. Search ""United States"" on Wiki.
6. Find the population of the United States from Wiki, which is 340.1 million.
7. Send a message to the user: ""340.1 million"".
",Irrelevant
Multi,"I need you to run a quick check. Go to the “Quantum mechanics” article on Wiki and find the first article listed in the “Related pages” section. Search for the second word of that article’s title on News, visit the second search result, and tell me whether that news article contains the word “ship”.",yes,"1. Type ""Quantum mechanics"" in the Wiki search box and press Enter.
2. Scroll to the ""Related pages"" section and note the title of the first article listed, ""Electromagnetic wave"".
3. Identify the second word of that article's title, which is ""wave"". Remember this word.
4. Go to News by typing News in the search box and pressing Enter.
5. Type the word ""wave"" that you remembered in the search box and press Enter.
6. Open the second search result, ""Wave kills two on Mediterranean cruise"".
7. Check whether the word ""ship"" appears in the article. Since it does, send a message to the user: ""yes"".
",Irrelevant
Multi,"First, verify whether “Brisling Sardines in BBQ Sauce” is kosher. If it is, look up “sardine” on Wikipedia and find the word from which its name is derived. If it is not, search for “Fish” on News and tell me the 20th search result.",The fishes are named after the Island of Sardinia.,"1. Go to Shop and search ""Brisling Sardines in BBQ Sauce"".
2. Go to the product page of ""Brisling Sardines in BBQ Sauce"" from the search results.
3. Verify from the product description that the product is Kosher.
4. Since it is confirmed Kosher, switch to Wiki search and type ""sardine"".
5. Read the Wiki article to find the origin of the name (for example, named after an island). Send a message to the user: ""The fishes are named after the Island of Sardinia.""
",Irrelevant
Multi,"Visit the first article of the News search for the toy maker Mattel. Find the name of the first toy product mentioned in that article. Is that product available in the Shop? If so, how many such products are available?","No, the product is not available in the Shop.","1. Type ""Mattel"" in the News search box and press Enter. 
2. Open the first article, ""Toy maker Mattel recalls more products"", and identify the name of the first toy product mentioned, which is ""Barbie"". Remember the name. 
3. Switch to the Shop search. 
4. Type the name of that toy from your memory, ""Barbie"", in the search box and press Enter. 
5. Check whether any valid product with that name is available. As there are none, send a message to the user: ""No, the product is not available in the Shop."" 
",Irrelevant
Multi,"Please find the fifth unique country mentioned on the “Anime” Wiki page, then search for that country’s name on News, and report the title of the thirteenth article in the search results.",France recalls Íngrid Betancourt mission,"1. Type ""Anime"" in the Wiki search box and press Enter. 
2. Scan the text to find the fifth unique country mentioned, which is ""France"". 
3. Switch to the News search. 
4. Type that country's name, ""France"", in the search box and press Enter. 
5. Visit the thirteenth article. Do so by going to page two and then clicking on the third article in the search results. 
6. Send the title of the visited article as a message to the user: ""France recalls Íngrid Betancourt mission"". 
",Irrelevant
Multi,"Does the Canon EOS Rebel T7i found in the Shop have a Wiki page? If yes, tell me the title of that Wiki page. Otherwise, find the most relevant page and tell me its title. If you find none of the pages to be relevant, just say ""Article not found"".",Canon EOS,"1. Type ""Canon EOS Rebel T7i"" in the Shop search box to confirm it exists there.
2. Switch to Wiki search and type ""Canon EOS Rebel T7i"".
3. You will find that no such article exists. You may need to search a subword instead.
4. Type ""Canon EOS"", press Enter, and you will find a relevant page with that as the title. Send a message to the user: ""Canon EOS"".
",Irrelevant
Multi,"Search for ""Apple"" on News. Is the first search result negative news about the tech company Apple? If yes, say ""Found negative news"". If not, order an “iPad Case Fit for iPad 9.7” and send me the confirmation code.",Found negative news.,"1. Type ""Apple"" in the News search box and press Enter. 
2. Click on the first search result and read the article to determine whether the news is negative regarding the company. 
3. Since it is negative, send a message to the user: ""Found negative news."" 
",Irrelevant
Multi,"Does the “Once Upon A Time Queen Born In 1982 T-Shirts” product from the Shop contain polyester? If so, go to the Polyester article on Wiki and tell me the names of the clothing brands mentioned there. Otherwise, just tell me, ""T-shirt is polyester-free!!!""",No clothing brands are mentioned in the Polyester article.,"1. Type “Once Upon A Time Queen Born In 1982 T-Shirts” in the Shop search box and press Enter.
2. Click on the first search result.
3. Check the material composition by reading the product description and other tabs.
4. Verify whether polyester is listed by checking all the tabs on the product page. You will find polyester mentioned on the Attributes tab.
5. Go to Wikipedia, type “Polyester” in the search box, and press Enter.
6. You will find no clothing brands mentioned in the Wikipedia article. Send a message to the user: “No clothing brands have been mentioned in the Polyester article.”",Irrelevant
Multi,"Could you check whether the “Tattoo” article on Wiki talks about mummification? If so, tell me how many tattoo machines are available in the Shop. Only consider electronic tattoo machines, not manual ones.",Two,"1. Type ""Tattoo"" in the Wiki search box and press Enter.
2. Read the article to see whether the concept of mummification has been discussed. You will find it mentioned in the History section.
3. Switch to the Shop search.
4. Type ""tattoo machine"" in the search box and press Enter.
5. Count the number of electronic tattoo machines available (excluding manuals) in the search results by visiting the first two pages. Don't go beyond that, as most of the results will not be relevant. You will find two such machines. Send a message to the user: ""Two"".
",Irrelevant
Multi,"Search for ""Iran"" on News and visit the first search result. Was that news incident reported in Iran’s Wiki article?",No,"1. Type ""Iran"" in the News search box and press Enter. 
2. Open the first article, ""Albania blames Iran for cyberattacks"", and identify the main incident reported. Remember the gist of this incident. 
3. Switch to Wiki search and type ""Iran"". 
4. Check the ""History"" or ""Current events"" section for the specific incident that you remembered. 
5. As the incident has not been mentioned, send a message to the user: ""No"". 
",Irrelevant
Multi,"Search for ""Driving Accident"" on News. Visit the first News article and identify the U.S. state where that accident occurred. Then search for that state on Wiki and tell me its population.",Over 29 million.,"1. Type ""Driving Accident"" in the News search box and press Enter. 
2. Open the first article, ""Car accident was an act of God, says driver"", and identify the U.S. state where the accident happened, which is Texas. 
3. Switch to Wiki search and type the name of that state, ""Texas"". 
4. Find the population based on the Wiki article, and send a message to the user: ""Over 29 million."" 
",Irrelevant
Multi,"Visit the Wiki article on ""Espadrille"" and find the first country mentioned in that article. Which of the following sites: Wiki, News, or Shop, have an article about that country or a product from that country?","Wiki, News","1. Type ""Espadrille"" in the Wiki search box and press Enter. 
2. Find the first country mentioned in the article, which is Bangladesh. 
3. Go to Wiki and search that country's name, ""Bangladesh"". You will find a valid article. Remember this fact. 
4. Go to News and search that country's name, ""Bangladesh"". You will find a valid article. Remember this fact. 
5. Go to Shop and search that country's name, ""Bangladesh"". You will not find a valid product. Remember this fact. 
6. Based on your memory, you found valid entries in Wiki and News only. Send a message to the user: ""Wiki, News"". 
",Irrelevant
Multi,Order the most expensive bed and send me the confirmation code.,61A1FDDAD1,"1. Type ""bed"" in the Shop search box and press Enter.
2. Go over all the products on page 1. You will find that the product ""iDealBed Luxe Series iQ5 Hybrid Luxury Plush Mattress 4i Custom Adjustable Bed Set, Wireless, Massage, Nightlight, Zero-Gravity, Anti-Snore, Memory Pre-Sets (Queen)"" has the highest price. Remember this fact. Warning: You might encounter something like a bed kit. This is not a bed, but this is a bed kit and shouldn't be considered.
3. Visit pages 2, 3, and 4 of the search results to verify that no bed product exists with a higher price. Don't visit more pages, as you won't find better results.
4. Since you cannot find any other product with a higher price, search ""iDealBed Luxe Series iQ5 Hybrid Luxury Plush Mattress 4i Custom Adjustable Bed Set, Wireless, Massage, Nightlight, Zero-Gravity, Anti-Snore, Memory Pre-Sets (Queen)"" and click on the product page.
5. Click ""Buy Now"" and retrieve the confirmation code. Send it as a message to the user: ""61A1FDDAD1"".
",Irrelevant
Multi,"Search ""dog"" on News. If the first search result says something positive about dogs, then place an order for a dog toy in the Shop and share the confirmation code. Otherwise, tell me the title of the news article.",Dog owner to face felony charge,"1. Type ""dog"" in the News search box and press Enter.
2. Click on the first article in the search results.
3. As it is a negative article on dogs, send the title of the news article message to the user: ""Dog owner to face felony charge.""",Irrelevant
Multi,Who are the first three female referees to be appointed to the men's 2022 FIFA World Cup?,"Stéphanie Frappart,Salima Mukansanga,Yoshimi Yamashita","1. Go to Wiki and type ""2022 FIFA World Cup"" in the search box, then press Enter. 
2. Identify the names of the first three female referees and send their names as a message to the user: ""Stéphanie Frappart, Salima Mukansanga, Yoshimi Yamashita"". 
",Irrelevant
